index,paramerter,true,pred,loss,n
0,1,55.41333770751953,50.269142150878906,5.144195556640625,5000
0,2,93.4264144897461,90.5636978149414,2.8627166748046875,5000
0,3,35.816959381103516,39.70528030395508,3.8883209228515625,5000
1,1,67.21067810058594,68.10975646972656,0.899078369140625,5000
1,2,70.95926666259766,67.555419921875,3.4038467407226562,5000
1,3,90.43208312988281,91.95734405517578,1.5252609252929688,5000
2,1,70.99900817871094,72.15425109863281,1.155242919921875,5000
2,2,79.27633666992188,79.83037567138672,0.5540390014648438,5000
2,3,42.7939453125,42.89455795288086,0.10061264038085938,5000
3,1,35.114768981933594,35.432674407958984,0.3179054260253906,5000
3,2,36.6585578918457,37.19837188720703,0.5398139953613281,5000
3,3,89.7415542602539,86.99739837646484,2.7441558837890625,5000
4,1,96.21566772460938,97.16299438476562,0.94732666015625,5000
4,2,34.39813995361328,34.23908233642578,0.1590576171875,5000
4,3,37.212982177734375,37.93076705932617,0.7177848815917969,5000
5,1,55.11455154418945,55.53851318359375,0.4239616394042969,5000
5,2,45.678794860839844,45.601417541503906,0.0773773193359375,5000
5,3,68.72738647460938,67.62781524658203,1.0995712280273438,5000
6,1,39.371543884277344,40.332279205322266,0.9607353210449219,5000
6,2,70.41525268554688,66.03585815429688,4.37939453125,5000
6,3,26.441720962524414,25.495336532592773,0.9463844299316406,5000
7,1,9.820544242858887,9.203201293945312,0.6173429489135742,5000
7,2,11.635017395019531,10.721858024597168,0.9131593704223633,5000
7,3,41.48775863647461,43.05390167236328,1.5661430358886719,5000
8,1,43.21390151977539,43.36807632446289,0.1541748046875,5000
8,2,69.2750244140625,66.0560531616211,3.2189712524414062,5000
8,3,78.95220947265625,76.58949279785156,2.3627166748046875,5000
9,1,41.365116119384766,41.194847106933594,0.17026901245117188,5000
9,2,18.92508888244629,18.665502548217773,0.2595863342285156,5000
9,3,68.74132537841797,67.06314086914062,1.6781845092773438,5000
10,1,79.68832397460938,77.98237609863281,1.7059478759765625,5000
10,2,94.57476806640625,100.29986572265625,5.72509765625,5000
10,3,88.29396057128906,85.85840606689453,2.4355545043945312,5000
11,1,72.73434448242188,69.17432403564453,3.5600204467773438,5000
11,2,27.873022079467773,26.964370727539062,0.9086513519287109,5000
11,3,46.238529205322266,45.79619216918945,0.4423370361328125,5000
12,1,64.2809066772461,66.81735229492188,2.5364456176757812,5000
12,2,88.71349334716797,92.41544342041016,3.7019500732421875,5000
12,3,70.65166473388672,73.43148040771484,2.779815673828125,5000
13,1,9.976967811584473,10.005374908447266,0.02840709686279297,5000
13,2,63.66249465942383,65.42300415039062,1.7605094909667969,5000
13,3,46.96733093261719,49.78969192504883,2.8223609924316406,5000
14,1,68.07319641113281,62.54894256591797,5.524253845214844,5000
14,2,17.756322860717773,18.477153778076172,0.7208309173583984,5000
14,3,23.24707794189453,23.13385009765625,0.11322784423828125,5000
15,1,78.89276123046875,75.03239440917969,3.8603668212890625,5000
15,2,30.81914710998535,32.13798904418945,1.3188419342041016,5000
15,3,41.62097930908203,41.11166000366211,0.5093193054199219,5000
16,1,90.84306335449219,89.04566955566406,1.797393798828125,5000
16,2,26.131471633911133,26.553354263305664,0.42188262939453125,5000
16,3,52.494110107421875,51.542057037353516,0.9520530700683594,5000
17,1,70.0949478149414,66.64926147460938,3.4456863403320312,5000
17,2,30.360692977905273,29.400014877319336,0.9606781005859375,5000
17,3,54.56037521362305,55.40767288208008,0.8472976684570312,5000
18,1,38.863441467285156,41.543460845947266,2.6800193786621094,5000
18,2,56.02284622192383,55.864715576171875,0.15813064575195312,5000
18,3,68.58222961425781,69.2286376953125,0.6464080810546875,5000
19,1,27.312103271484375,26.80760955810547,0.5044937133789062,5000
19,2,88.99815368652344,79.88097381591797,9.117179870605469,5000
19,3,39.36707305908203,38.04440689086914,1.3226661682128906,5000
20,1,19.837112426757812,19.271963119506836,0.5651493072509766,5000
20,2,94.20649719238281,91.34664916992188,2.8598480224609375,5000
20,3,79.99747467041016,77.24653625488281,2.7509384155273438,5000
21,1,60.10590362548828,63.787132263183594,3.6812286376953125,5000
21,2,9.693159103393555,10.036459922790527,0.34330081939697266,5000
21,3,78.25292205810547,79.41165924072266,1.1587371826171875,5000
22,1,92.9794692993164,81.60333251953125,11.376136779785156,5000
22,2,94.3802490234375,97.78410339355469,3.4038543701171875,5000
22,3,36.08318328857422,37.01019287109375,0.9270095825195312,5000
23,1,24.624460220336914,24.35592269897461,0.2685375213623047,5000
23,2,23.807628631591797,23.726436614990234,0.0811920166015625,5000
23,3,72.78499603271484,73.91964721679688,1.1346511840820312,5000
24,1,53.75962448120117,56.52562713623047,2.766002655029297,5000
24,2,7.797353267669678,8.261531829833984,0.46417856216430664,5000
24,3,88.24543762207031,89.81410217285156,1.56866455078125,5000
25,1,12.844701766967773,12.828825950622559,0.015875816345214844,5000
25,2,90.99752044677734,89.49898529052734,1.49853515625,5000
25,3,53.09089660644531,52.67430114746094,0.416595458984375,5000
26,1,76.97824096679688,76.49020385742188,0.488037109375,5000
26,2,56.63774871826172,61.65278625488281,5.015037536621094,5000
26,3,15.158068656921387,14.866413116455078,0.2916555404663086,5000
27,1,71.33772277832031,72.77055358886719,1.432830810546875,5000
27,2,99.1810531616211,88.47648620605469,10.704566955566406,5000
27,3,16.273242950439453,16.93803596496582,0.6647930145263672,5000
28,1,30.48047637939453,31.747995376586914,1.2675189971923828,5000
28,2,23.577909469604492,23.44440460205078,0.13350486755371094,5000
28,3,91.63851928710938,94.97950744628906,3.3409881591796875,5000
29,1,36.62620162963867,36.848045349121094,0.22184371948242188,5000
29,2,35.52666091918945,35.494544982910156,0.032115936279296875,5000
29,3,58.62995910644531,57.73796463012695,0.8919944763183594,5000
