0.03533872216939926,0.05162651091814041,0.1197051927447319
0.03338455781340599,0.055174797773361206,0.08820245414972305
1.0,1.0,12.0
1.0,1.0,12.0
1.0,4.0,12.0
1.0,2.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,2.0,12.0
1.0,2.0,12.0
1.0,2.0,12.0
1.0,2.0,12.0
1.0,3.0,12.0
1.0,2.0,12.0
1.0,2.0,12.0
1.0,2.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,2.0,12.0
1.0,3.0,12.0
1.0,4.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,4.0,12.0
1.0,2.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,2.0,12.0
1.0,2.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,3.0,12.0
1.0,1.0,12.0
1.0,2.0,12.0
1.0,2.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
1.0,1.0,12.0
