data_id,k,state,MLE,true
0,5000,1,0.01981145471917174,0.01804619725320811
0,5000,2,0.010630354638686574,0.010703611246734303
0,5000,3,0.02482582433945826,0.027919736234975776
1,5000,1,0.014695830970898879,0.01487858837199785
1,5000,2,0.01474705135843894,0.01409259181379223
1,5000,3,0.010762028234740968,0.011058022203136376
2,5000,1,0.013877878569101916,0.014084704290097576
2,5000,2,0.012499079151708992,0.012614105001841486
2,5000,3,0.023169707417047228,0.02336779248569285
3,5000,1,0.02921215120907158,0.028478044929339415
3,5000,2,0.02669800947181115,0.02727875979962492
3,5000,3,0.011445331070632392,0.011143109449211822
4,5000,1,0.010325413895447555,0.010393317889271628
4,5000,2,0.02906864904533421,0.029071337894599772
4,5000,3,0.026340690207520844,0.026872342175358704
5,5000,1,0.009943082582819994,0.010211998925930141
5,5000,2,0.027855248330001726,0.02750464734582785
5,5000,3,0.02287535077104969,0.02295568128173006
6,5000,1,0.018070145232636423,0.018144027616264557
6,5000,2,0.021867833552725237,0.02189199689176992
6,5000,3,0.014833160589379623,0.01455024097096419
7,5000,1,0.024630905737934517,0.025399055770889526
7,5000,2,0.015146823804878817,0.014201469176140217
7,5000,3,0.03950085699426728,0.03781901991903092
8,5000,1,0.10868076209961534,0.10182735151136384
8,5000,2,0.09081580776514325,0.08594744952821048
8,5000,3,0.023407996666331025,0.02410349641793956
9,5000,1,0.0,0.08178979706910589
9,5000,2,0.0,0.010320014883755644
9,5000,3,inf,0.1068082737825488
10,5000,1,0.0,0.016454762603357036
10,5000,2,inf,0.13569357637180163
10,5000,3,0.0,0.011560982373968015
11,5000,1,0.023107629772319786,0.023140702533451133
11,5000,2,0.015231801733129791,0.014435216460615907
11,5000,3,0.01303882071671705,0.01266588997927878
12,5000,1,0.02418066788858055,0.02417495888488553
12,5000,2,0.05346691617420479,0.05283990758952837
12,5000,3,0.015014386060803122,0.014547289642246452
13,5000,1,0.012857399803408331,0.012548889938283538
13,5000,2,0.010040685285077986,0.010573645275070834
13,5000,3,0.01156549925592038,0.011325802942639223
14,5000,1,0.014490293171524568,0.013748662854796888
14,5000,2,0.037229475954825716,0.035876986703015666
14,5000,3,0.02191318379084257,0.021626984845545236
15,5000,1,0.014986238364825146,0.015556718684004996
15,5000,2,0.010786134953976161,0.01127224210367916
15,5000,3,0.013496664765280336,0.014153947766169548
16,5000,1,0.0997034331750461,0.10023085698164383
16,5000,2,0.015400416071726934,0.015707835282931026
16,5000,3,0.020555203674306646,0.021291395984172363
17,5000,1,0.015977856910040136,0.014690070241434924
17,5000,2,0.055430766770561385,0.05631796694064579
17,5000,3,0.04345205905037487,0.043016158349573966
18,5000,1,0.01321758267606389,0.012675434297818805
18,5000,2,0.03145349620567236,0.03244736092494159
18,5000,3,0.024277477363308795,0.02402634556605343
19,5000,1,inf,0.03540953359474416
19,5000,2,5.486893790002801e-234,0.015168973078048282
19,5000,3,0.0,0.032203391454580246
20,5000,1,0.011207120480887149,0.011007995704680525
20,5000,2,0.037478219954198734,0.038268033544378306
20,5000,3,0.019337927284398277,0.01904975614506762
21,5000,1,0.015116976178101635,0.01426636313961643
21,5000,2,0.0340476935996656,0.03293732509022802
21,5000,3,0.018065198692226905,0.018328320969252875
22,5000,1,0.024176097939921502,0.025731121623097476
22,5000,2,0.01786932759055326,0.017849860990024252
22,5000,3,0.014387162485458068,0.014581036809221331
23,5000,1,0.03698726956192674,0.03661380379955116
23,5000,2,0.012481477856597185,0.011236188275025346
23,5000,3,0.025914398704405848,0.02540193865954995
24,5000,1,0.05083044014087882,0.05041056578798835
