dataset,file,num_rows_used,mle_time_sec,surrogate_time_sec
n200,1026_200_4.csv,200,0.5458707809448242,0.0029211044311523
n200,387_200_4.csv,200,0.894960880279541,0.0054800510406494
n200,395_200_4.csv,200,0.5674569606781006,0.0045790672302246
n200,240_200_4.csv,200,0.7916040420532227,0.0062839984893798
n200,172_200_4.csv,200,0.5388851165771484,0.0066301822662353
n200,459_200_4.csv,200,0.5795130729675293,0.0032460689544677
n200,153_200_4.csv,200,0.4382870197296142,0.0034360885620117
n200,356_200_4.csv,200,0.7410600185394287,0.0038099288940429
n200,694_200_4.csv,200,0.7620351314544678,0.0044078826904296
n200,374_200_4.csv,200,0.5129151344299316,0.0046980381011962
n200,1152_200_4.csv,200,0.7130742073059082,0.0033710002899169
n200,427_200_4.csv,200,1.4370410442352295,0.0020530223846435
n200,173_200_4.csv,200,1.013660907745361,0.0027689933776855
n200,390_200_4.csv,200,0.4462988376617431,0.0072290897369384
n200,710_200_4.csv,200,0.6528129577636719,0.0048959255218505
n200,146_200_4.csv,200,0.802213191986084,0.004422903060913
n200,1185_200_4.csv,200,0.66056227684021,0.0035531520843505
n200,1157_200_4.csv,200,0.6251821517944336,0.0037078857421875
n200,221_200_4.csv,200,0.5178987979888916,0.0066220760345458
n200,248_200_4.csv,200,0.4005560874938965,0.0053329467773437
n200,629_200_4.csv,200,0.6270627975463867,0.0030379295349121
n200,735_200_4.csv,200,1.7017641067504885,0.0094661712646484
n200,241_200_4.csv,200,0.5463621616363525,0.0040028095245361
n200,948_200_4.csv,200,1.2046000957489014,0.0050880908966064
n200,638_200_4.csv,200,0.412351131439209,0.0027499198913574
n200,821_200_4.csv,200,0.6397428512573242,0.004173994064331
n200,183_200_4.csv,200,0.4934768676757812,0.0044171810150146
n200,813_200_4.csv,200,0.6255950927734375,0.0041780471801757
n200,47_200_4.csv,200,0.8885860443115234,0.0046977996826171
n200,489_200_4.csv,200,0.5623817443847656,0.0028901100158691
n200,785_200_4.csv,200,2.6503219604492188,0.0018019676208496
n200,324_200_4.csv,200,0.5849978923797607,0.003899335861206
