index,paramerter,true,pred,likelihood_lifespan,n
0,1,55.41333770751953,55.13064956665039,50.475849157724404,5000
0,2,93.4264144897461,90.58466339111328,94.07023885738909,5000
0,3,35.816959381103516,42.24457550048828,40.28063625708477,5000
1,1,67.21067810058594,67.64727783203125,68.0465093794444,5000
1,2,70.95926666259766,67.18844604492188,67.81016595753252,5000
1,3,90.43208312988281,93.27396392822266,92.91928790633479,5000
2,1,70.99900817871094,70.9815902709961,72.05712278146221,5000
2,2,79.27633666992188,79.3054428100586,80.00589386325076,5000
2,3,42.7939453125,44.50627136230469,43.15980266821345,5000
3,1,35.114768981933594,33.590538024902344,34.23232999319333,5000
3,2,36.6585578918457,37.29634475708008,37.455975924191684,5000
3,3,89.7415542602539,84.77455139160156,87.3718718863365,5000
4,1,96.21566772460938,94.46381378173828,96.84841790612356,5000
4,2,34.39813995361328,34.367733001708984,34.40132351663275,5000
4,3,37.212982177734375,37.85402297973633,37.96407733137069,5000
5,1,97.92402648925781,94.80960083007812,100.57243230865194,5000
5,2,36.35749053955078,37.393951416015625,35.89987740022916,5000
5,3,43.562198638916016,42.30363082885742,43.715176654933224,5000
6,1,55.11455154418945,55.04682922363281,55.33989833097211,5000
6,2,45.678794860839844,46.44725799560547,45.72926703456534,5000
6,3,68.72738647460938,66.81046295166016,67.4165154468825,5000
7,1,39.371543884277344,41.690975189208984,40.59940022667869,5000
7,2,70.41525268554688,66.02232360839844,66.02044183533042,5000
7,3,26.441720962524414,25.425371170043945,25.31590644084327,5000
8,1,9.820544242858887,8.372733116149902,9.201260468558486,5000
8,2,11.635017395019531,10.94839859008789,11.011298854336877,5000
8,3,41.48775863647461,46.21100997924805,42.720443541345574,5000
9,1,12.226463317871094,11.943225860595703,inf,5000
9,2,96.89907836914062,96.41056060791016,inf,5000
9,3,9.362570762634277,10.345293998718262,0.0,5000
10,1,60.772682189941406,58.830963134765625,inf,5000
10,2,7.3695454597473145,6.050622940063477,0.0,5000
10,3,86.49784088134766,86.39647674560547,inf,5000
11,1,43.21390151977539,42.2130126953125,43.27574960534819,5000
11,2,69.2750244140625,65.96582794189453,65.65211506298425,5000
11,3,78.95220947265625,77.44187927246094,76.69405245505843,5000
12,1,41.365116119384766,40.62390899658203,41.355350671362366,5000
12,2,18.92508888244629,18.71880340576172,18.703154615123506,5000
12,3,68.74132537841797,67.90377044677734,66.60278988100761,5000
13,1,79.68832397460938,70.48939514160156,77.7762234425434,5000
13,2,94.57476806640625,95.25269317626953,99.59479573432651,5000
13,3,88.29396057128906,86.42810821533203,86.46405813290765,5000
14,1,72.73434448242188,69.28123474121094,69.01171619944435,5000
14,2,27.873022079467773,28.012691497802734,26.860437176537243,5000
14,3,46.238529205322266,45.78102111816406,45.63462842938851,5000
15,1,64.2809066772461,64.8340072631836,66.72788565455782,5000
15,2,88.71349334716797,92.26557159423828,92.71161581668915,5000
15,3,70.65166473388672,75.11820983886719,74.09237892404815,5000
16,1,9.976967811584473,10.09328842163086,10.02974489598901,5000
16,2,63.66249465942383,66.6229019165039,64.93331058995632,5000
16,3,46.96733093261719,50.29303741455078,48.649481457095376,5000
17,1,68.07319641113281,61.40347671508789,62.58661631721222,5000
17,2,17.756322860717773,17.729333877563477,18.04052258809972,5000
17,3,23.24707794189453,21.720809936523438,23.013869120463987,5000
18,1,78.89276123046875,78.54325866699219,75.6567993186023,5000
18,2,30.81914710998535,33.162139892578125,31.79296805229744,5000
18,3,41.62097930908203,41.117671966552734,41.190441042747175,5000
19,1,28.240982055664062,27.670658111572266,0.0,5000
19,2,65.92404174804688,63.589744567871094,1.822524798679381e+233,5000
19,3,31.052629470825195,33.187984466552734,inf,5000
20,1,90.84306335449219,87.7429428100586,89.22898631324793,5000
20,2,26.131471633911133,27.87885856628418,26.682163699932303,5000
20,3,52.494110107421875,50.0897331237793,51.71185025640229,5000
21,1,70.0949478149414,68.08235931396484,66.15079551746561,5000
21,2,30.360692977905273,30.17290496826172,29.370565059649785,5000
21,3,54.56037521362305,55.950191497802734,55.355051280464465,5000
22,1,38.863441467285156,40.82849884033203,41.36316797214493,5000
22,2,56.02284622192383,56.43537139892578,55.96181473155468,5000
22,3,68.58222961425781,69.15579986572266,69.50640899557209,5000
23,1,27.312103271484375,27.8271541595459,27.036329305836656,5000
23,2,88.99815368652344,83.54593658447266,80.11871763017567,5000
23,3,39.36707305908203,40.39591979980469,38.58858588256515,5000
24,1,19.837112426757812,20.356491088867188,19.67325085575603,5000
24,2,94.20649719238281,89.42568969726562,91.20559231764925,5000
24,3,79.99747467041016,82.82684326171875,77.89166002167367,5000
25,1,60.10590362548828,64.3663330078125,62.90878686722269,5000
25,2,9.693159103393555,9.295916557312012,10.002725711300412,5000
25,3,78.25292205810547,78.90276336669922,79.28284340435745,5000
26,1,92.9794692993164,80.56312561035156,82.3190818285141,5000
26,2,94.3802490234375,92.15646362304688,97.90563712477989,5000
26,3,36.08318328857422,37.64323425292969,36.923914095915,5000
27,1,24.624460220336914,23.62932777404785,24.438660405529497,5000
27,2,23.807628631591797,24.375078201293945,23.672421130617664,5000
27,3,72.78499603271484,74.99884796142578,73.04705273822961,5000
28,1,53.75962448120117,55.70234680175781,56.405770629019365,5000
28,2,7.797353267669678,7.915447235107422,8.167642593363462,5000
28,3,88.24543762207031,85.73151397705078,89.55497066038583,5000
29,1,12.844701766967773,13.009681701660156,13.038121466809447,5000
29,2,90.99752044677734,88.36019134521484,89.35136505596147,5000
29,3,53.09089660644531,52.808536529541016,52.92691580447261,5000
30,1,76.97824096679688,76.5680160522461,76.48093276039249,5000
30,2,56.63774871826172,61.089412689208984,61.808365421082044,5000
30,3,15.158068656921387,14.277310371398926,14.744927814109932,5000
31,1,71.33772277832031,71.98794555664062,72.59234528593579,5000
31,2,99.1810531616211,88.48655700683594,88.21098844372801,5000
31,3,16.273242950439453,15.335528373718262,16.210237614146493,5000
32,1,30.48047637939453,31.85599708557129,31.86880316888479,5000
32,2,23.577909469604492,23.603036880493164,23.55033586233532,5000
32,3,91.63851928710938,93.84609985351562,94.83525813538112,5000
33,1,36.62620162963867,36.91902542114258,36.8288059758747,5000
33,2,35.52666091918945,36.249473571777344,35.612548122865796,5000
33,3,58.62995910644531,57.369422912597656,57.58854827792223,5000
34,1,40.00345993041992,40.4539909362793,40.898796015456355,5000
34,2,32.15787887573242,31.92498016357422,30.599618164014718,5000
34,3,61.746986389160156,64.31029510498047,63.20772767870373,5000
35,1,87.09579467773438,78.57828521728516,84.32061333815656,5000
35,2,18.910432815551758,19.964797973632812,16.255190905033107,5000
35,3,43.94293975830078,40.82204818725586,45.01638263151081,5000
36,1,40.62299728393555,43.35215377807617,43.31365878131125,5000
36,2,42.73880386352539,43.37289047241211,42.5328286261275,5000
36,3,76.4658203125,69.95551300048828,71.66011901681725,5000
37,1,15.847921371459961,16.803876876831055,15.633303403202147,5000
37,2,77.55156707763672,77.381591796875,78.37307547963572,5000
37,3,78.35979461669922,85.27316284179688,82.9892252620732,5000
38,1,33.35758972167969,34.29287338256836,34.40702355424961,5000
38,2,42.31010818481445,44.03703689575195,43.46401532550163,5000
38,3,46.66642379760742,48.58168411254883,47.756041245230186,5000
39,1,24.320919036865234,24.845287322998047,24.400880393526187,5000
39,2,86.2834701538086,86.2166519165039,87.99429105119813,5000
39,3,89.61151885986328,91.89564514160156,91.20924876029203,5000
40,1,41.367401123046875,40.59148025512695,41.08746601909622,5000
40,2,24.1229305267334,25.683086395263672,24.02119634357621,5000
40,3,67.40617370605469,65.9150619506836,66.88606327888029,5000
41,1,75.46562957763672,78.68790435791016,78.48766005274572,5000
41,2,51.38707733154297,52.51675033569336,51.76471768212758,5000
41,3,68.69395446777344,65.91085052490234,66.97145052035313,5000
42,1,67.52608489990234,67.36772155761719,1.2796664012902885e-74,5000
42,2,81.25125122070312,78.04731750488281,inf,5000
42,3,2.7801575660705566,2.6341488361358643,0.0,5000
43,1,51.60359573364258,51.273048400878906,52.075885949064734,5000
43,2,10.705198287963867,12.149864196777344,10.950093647831098,5000
43,3,90.94759368896484,91.23304748535156,92.50071820840995,5000
44,1,31.967193603515625,30.69086265563965,31.920531730315894,5000
44,2,28.691923141479492,28.994916915893555,28.381342485637024,5000
44,3,36.96998977661133,36.84955978393555,36.496704221971484,5000
