index,paramerter,true,pred,loss,n
0,1,28.240982055664062,26.02822494506836,2.212757110595703,581
0,2,65.92404174804688,59.50752258300781,6.4165191650390625,581
0,3,31.052629470825195,35.863101959228516,4.81047248840332,581
1,1,4.700756549835205,1.8766674995422363,2.8240890502929688,607
1,2,67.70154571533203,72.36065673828125,4.659111022949219,607
1,3,10.747926712036133,10.391241073608398,0.3566856384277344,607
2,1,87.09579467773438,86.80323028564453,0.29256439208984375,578
2,2,18.910432815551758,16.18553352355957,2.7248992919921875,578
2,3,43.94293975830078,41.53294372558594,2.4099960327148438,578
3,1,49.31306076049805,39.775054931640625,9.538005828857422,1107
3,2,21.0740909576416,18.471935272216797,2.6021556854248047,1107
3,3,18.35751724243164,18.113473892211914,0.24404335021972656,1107
4,1,64.2809066772461,67.51756286621094,3.2366561889648438,1134
4,2,88.71349334716797,87.7216796875,0.9918136596679688,1134
4,3,70.65166473388672,80.18338012695312,9.531715393066406,1134
5,1,28.14104461669922,28.825136184692383,0.6840915679931641,2874
5,2,35.35513687133789,36.37501525878906,1.0198783874511719,2874
5,3,4.49708890914917,3.6121437549591064,0.8849451541900635,2874
6,1,35.114768981933594,35.1445426940918,0.029773712158203125,1198
6,2,36.6585578918457,34.92593765258789,1.7326202392578125,1198
6,3,89.7415542602539,88.45417785644531,1.2873764038085938,1198
7,1,24.624460220336914,22.924955368041992,1.6995048522949219,1104
7,2,23.807628631591797,25.418354034423828,1.6107254028320312,1104
7,3,72.78499603271484,74.05729675292969,1.2723007202148438,1104
8,1,19.837112426757812,19.799007415771484,0.038105010986328125,1529
8,2,94.20649719238281,84.70963287353516,9.496864318847656,1529
8,3,79.99747467041016,71.6629638671875,8.334510803222656,1529
9,1,12.66082763671875,10.423293113708496,2.237534523010254,1448
9,2,53.17574691772461,43.828243255615234,9.347503662109375,1448
9,3,58.26239013671875,61.11198425292969,2.8495941162109375,1448
10,1,90.84306335449219,90.32539367675781,0.517669677734375,2147
10,2,26.131471633911133,27.233196258544922,1.101724624633789,2147
10,3,52.494110107421875,52.10434341430664,0.3897666931152344,2147
11,1,67.52608489990234,64.60909271240234,2.9169921875,737
11,2,81.25125122070312,79.35328674316406,1.8979644775390625,737
11,3,2.7801575660705566,3.0342719554901123,0.25411438941955566,737
12,1,39.371543884277344,37.61106872558594,1.7604751586914062,997
12,2,70.41525268554688,65.9478530883789,4.467399597167969,997
12,3,26.441720962524414,23.814882278442383,2.6268386840820312,997
13,1,9.820544242858887,5.4504194259643555,4.370124816894531,803
13,2,11.635017395019531,8.072553634643555,3.5624637603759766,803
13,3,41.48775863647461,47.84314727783203,6.355388641357422,803
14,1,12.226463317871094,10.906509399414062,1.3199539184570312,2027
14,2,96.89907836914062,95.5914077758789,1.3076705932617188,2027
14,3,9.362570762634277,8.559945106506348,0.8026256561279297,2027
15,1,41.367401123046875,41.03367614746094,0.3337249755859375,1357
15,2,24.1229305267334,25.57203483581543,1.4491043090820312,1357
15,3,67.40617370605469,65.02839660644531,2.377777099609375,1357
16,1,71.33772277832031,65.39186096191406,5.94586181640625,1577
16,2,99.1810531616211,90.72798156738281,8.453071594238281,1577
16,3,16.273242950439453,12.74264144897461,3.5306015014648438,1577
17,1,27.312103271484375,26.37096405029297,0.9411392211914062,1335
17,2,88.99815368652344,83.88027954101562,5.1178741455078125,1335
17,3,39.36707305908203,44.1634521484375,4.796379089355469,1335
18,1,55.41333770751953,56.45841979980469,1.0450820922851562,1993
18,2,93.4264144897461,90.02666473388672,3.399749755859375,1993
18,3,35.816959381103516,35.211978912353516,0.60498046875,1993
19,1,79.68832397460938,83.44145965576172,3.7531356811523438,2882
19,2,94.57476806640625,95.11656951904297,0.5418014526367188,2882
19,3,88.29396057128906,83.37590789794922,4.918052673339844,2882
20,1,43.21390151977539,42.496559143066406,0.7173423767089844,2095
20,2,69.2750244140625,66.37151336669922,2.9035110473632812,2095
20,3,78.95220947265625,81.03002166748047,2.0778121948242188,2095
21,1,9.976967811584473,8.956206321716309,1.020761489868164,1409
21,2,63.66249465942383,69.09194946289062,5.429454803466797,1409
21,3,46.96733093261719,41.05168151855469,5.9156494140625,1409
22,1,40.00345993041992,40.508140563964844,0.5046806335449219,2749
22,2,32.15787887573242,33.7420539855957,1.5841751098632812,2749
22,3,61.746986389160156,63.16613006591797,1.4191436767578125,2749
23,1,60.10590362548828,56.10678482055664,3.9991188049316406,1682
23,2,9.693159103393555,8.428617477416992,1.2645416259765625,1682
23,3,78.25292205810547,80.75940704345703,2.5064849853515625,1682
24,1,20.91837501525879,18.19864845275879,2.7197265625,1668
24,2,14.927363395690918,17.105897903442383,2.178534507751465,1668
24,3,2.0598220825195312,1.9738438129425049,0.08597826957702637,1668
25,1,79.33379364013672,67.84093475341797,11.49285888671875,819
25,2,59.764076232910156,51.40737533569336,8.356700897216797,819
25,3,43.37213134765625,43.34324645996094,0.0288848876953125,819
26,1,57.56483840942383,57.321964263916016,0.2428741455078125,2344
26,2,82.8009033203125,88.03092956542969,5.2300262451171875,2344
26,3,16.353515625,15.811834335327148,0.5416812896728516,2344
27,1,33.79530715942383,31.363426208496094,2.4318809509277344,1920
27,2,22.442502975463867,21.228229522705078,1.214273452758789,1920
27,3,27.35127067565918,26.501527786254883,0.8497428894042969,1920
28,1,87.90674591064453,90.11499786376953,2.208251953125,1517
28,2,14.826592445373535,16.428422927856445,1.6018304824829102,1517
28,3,31.591148376464844,34.96634292602539,3.375194549560547,1517
29,1,39.717464447021484,37.415897369384766,2.3015670776367188,647
29,2,48.79570388793945,53.07866668701172,4.282962799072266,647
29,3,30.514619827270508,34.879974365234375,4.365354537963867,647
30,1,23.24970245361328,24.9099178314209,1.6602153778076172,3862
30,2,84.71406555175781,83.4284896850586,1.2855758666992188,3862
30,3,44.13726806640625,43.28894805908203,0.8483200073242188,3862
31,1,30.48047637939453,30.3841609954834,0.09631538391113281,2306
31,2,23.577909469604492,24.913026809692383,1.3351173400878906,2306
31,3,91.63851928710938,92.34148406982422,0.7029647827148438,2306
32,1,24.320919036865234,25.5410099029541,1.2200908660888672,3722
32,2,86.2834701538086,90.0162124633789,3.7327423095703125,3722
32,3,89.61151885986328,90.552490234375,0.9409713745117188,3722
33,1,78.89276123046875,87.32195281982422,8.429191589355469,3567
33,2,30.81914710998535,31.57833480834961,0.7591876983642578,3567
33,3,41.62097930908203,43.795745849609375,2.1747665405273438,3567
34,1,95.46001434326172,81.47863006591797,13.98138427734375,533
34,2,23.09710121154785,23.445159912109375,0.34805870056152344,533
34,3,73.70453643798828,77.68536376953125,3.9808273315429688,533
35,1,8.0856294631958,5.90191125869751,2.183718204498291,2031
35,2,17.14141082763672,15.385529518127441,1.7558813095092773,2031
35,3,20.311012268066406,20.59507179260254,0.2840595245361328,2031
36,1,67.21067810058594,68.36256408691406,1.151885986328125,3834
36,2,70.95926666259766,69.95150756835938,1.0077590942382812,3834
36,3,90.43208312988281,89.8525619506836,0.5795211791992188,3834
37,1,70.0949478149414,63.935604095458984,6.159343719482422,3366
37,2,30.360692977905273,31.830791473388672,1.4700984954833984,3366
37,3,54.56037521362305,55.82032775878906,1.2599525451660156,3366
38,1,43.47471618652344,40.4236946105957,3.0510215759277344,1377
38,2,7.864729404449463,7.685726165771484,0.17900323867797852,1377
38,3,46.25218200683594,44.726539611816406,1.5256423950195312,1377
39,1,59.563541412353516,59.458133697509766,0.10540771484375,1235
39,2,80.54899597167969,77.2371597290039,3.3118362426757812,1235
39,3,17.18219757080078,19.04994773864746,1.8677501678466797,1235
40,1,83.37928009033203,81.63041687011719,1.7488632202148438,1098
40,2,19.960548400878906,19.979768753051758,0.019220352172851562,1098
40,3,68.00218963623047,77.80548095703125,9.803291320800781,1098
41,1,68.07319641113281,65.85828399658203,2.2149124145507812,3296
41,2,17.756322860717773,16.763961791992188,0.9923610687255859,3296
41,3,23.24707794189453,20.809268951416016,2.4378089904785156,3296
