index,paramerter,mle,pred,loss,n
0,1,26.804948806762695,26.538236618041992,0.2667121887207031,581
0,2,59.30207824707031,59.0352668762207,0.2668113708496094,581
0,3,33.4552116394043,33.69888687133789,0.24367523193359375,581
1,1,4.381866931915283,3.8220553398132324,0.5598115921020508,607
1,2,66.01915740966797,67.00590515136719,0.9867477416992188,607
1,3,8.879579544067383,8.075998306274414,0.8035812377929688,607
2,1,85.66278839111328,86.63770294189453,0.97491455078125,578
2,2,18.847471237182617,16.916690826416016,1.9307804107666016,578
2,3,42.15456008911133,42.614559173583984,0.45999908447265625,578
3,1,38.41819381713867,41.115447998046875,2.697254180908203,1107
3,2,19.97309112548828,19.418426513671875,0.5546646118164062,1107
3,3,18.747953414916992,18.456924438476562,0.2910289764404297,1107
4,1,68.18234252929688,68.04759216308594,0.1347503662109375,1134
4,2,88.90843200683594,88.60432434082031,0.304107666015625,1134
4,3,78.89826202392578,77.52708435058594,1.3711776733398438,1134
5,1,29.113916397094727,28.98310089111328,0.1308155059814453,2874
5,2,36.75929641723633,36.485530853271484,0.27376556396484375,2874
5,3,4.8916239738464355,5.026516914367676,0.13489294052124023,2874
6,1,34.30194091796875,35.01158142089844,0.7096405029296875,1198
6,2,35.06690216064453,35.020206451416016,0.046695709228515625,1198
6,3,89.66051483154297,89.17949676513672,0.48101806640625,1198
7,1,23.568424224853516,23.577167510986328,0.0087432861328125,1104
7,2,24.42784881591797,24.548559188842773,0.12071037292480469,1104
7,3,72.50138854980469,73.16085815429688,0.6594696044921875,1104
8,1,19.69065284729004,19.490148544311523,0.20050430297851562,1529
8,2,87.60701751708984,87.2120590209961,0.39495849609375,1529
8,3,69.7083969116211,69.74951171875,0.04111480712890625,1529
9,1,14.81731128692627,15.570534706115723,0.7532234191894531,1448
9,2,42.47118377685547,42.96596908569336,0.4947853088378906,1448
9,3,59.32140350341797,59.419090270996094,0.097686767578125,1448
10,1,92.7770004272461,92.77589416503906,0.00110626220703125,2147
10,2,26.545211791992188,26.34188461303711,0.20332717895507812,2147
10,3,52.130332946777344,51.699398040771484,0.4309349060058594,2147
11,1,64.55364990234375,64.85511016845703,0.30146026611328125,737
11,2,80.38658142089844,80.47367858886719,0.08709716796875,737
11,3,3.6687135696411133,3.2840216159820557,0.3846919536590576,737
12,1,37.52970504760742,37.78976058959961,0.2600555419921875,997
12,2,63.97557830810547,64.76216125488281,0.7865829467773438,997
12,3,23.562889099121094,23.536575317382812,0.02631378173828125,997
13,1,8.502286911010742,8.14582633972168,0.3564605712890625,803
13,2,10.03488826751709,10.470098495483398,0.4352102279663086,803
13,3,44.59931945800781,44.38755798339844,0.211761474609375,803
14,1,41.41255569458008,41.26201248168945,0.150543212890625,1357
14,2,24.37969207763672,24.32476234436035,0.05492973327636719,1357
14,3,65.51466369628906,65.82671356201172,0.31204986572265625,1357
15,1,64.62161254882812,64.84222412109375,0.220611572265625,1577
15,2,92.21248626708984,92.3321533203125,0.11966705322265625,1577
15,3,14.990201950073242,15.122166633605957,0.13196468353271484,1577
16,1,25.813812255859375,25.636802673339844,0.17700958251953125,1335
16,2,86.32330322265625,85.6771469116211,0.6461563110351562,1335
16,3,41.189048767089844,40.66852569580078,0.5205230712890625,1335
17,1,55.48511505126953,55.546573638916016,0.061458587646484375,1993
17,2,93.25498962402344,92.82131958007812,0.4336700439453125,1993
17,3,36.3655891418457,36.33909225463867,0.02649688720703125,1993
18,1,42.98914337158203,42.80354309082031,0.18560028076171875,2095
18,2,67.35881805419922,67.37544250488281,0.01662445068359375,2095
18,3,79.62462615966797,79.69344329833984,0.068817138671875,2095
19,1,10.071831703186035,10.2457914352417,0.17395973205566406,1409
19,2,68.05127716064453,68.81684112548828,0.76556396484375,1409
19,3,39.684688568115234,39.780662536621094,0.09597396850585938,1409
20,1,40.573081970214844,40.35564041137695,0.21744155883789062,2749
20,2,32.505340576171875,32.5744743347168,0.06913375854492188,2749
20,3,64.11647033691406,64.8658447265625,0.7493743896484375,2749
21,1,55.81218338012695,57.1533203125,1.3411369323730469,1682
21,2,9.765301704406738,9.530374526977539,0.23492717742919922,1682
21,3,79.69952392578125,80.90764617919922,1.2081222534179688,1682
22,1,17.185504913330078,18.57060432434082,1.3850994110107422,1668
22,2,14.38059139251709,14.7749662399292,0.3943748474121094,1668
22,3,2.072528839111328,2.049696922302246,0.02283191680908203,1668
23,1,66.83135223388672,67.5118408203125,0.6804885864257812,819
23,2,47.45463943481445,47.38340759277344,0.07123184204101562,819
23,3,44.342933654785156,44.37397766113281,0.03104400634765625,819
24,1,56.31825637817383,56.29295349121094,0.025302886962890625,2344
24,2,86.91938781738281,86.69416046142578,0.22522735595703125,2344
24,3,16.455766677856445,16.657533645629883,0.2017669677734375,2344
25,1,32.89717102050781,32.92733383178711,0.030162811279296875,1920
25,2,21.19968032836914,21.463520050048828,0.2638397216796875,1920
25,3,26.80439567565918,26.93202018737793,0.12762451171875,1920
26,1,89.38053131103516,90.3135757446289,0.93304443359375,1517
26,2,14.824325561523438,14.417789459228516,0.4065361022949219,1517
26,3,34.69112777709961,35.23102951049805,0.5399017333984375,1517
27,1,37.600120544433594,37.68729782104492,0.08717727661132812,647
27,2,53.862144470214844,53.92912673950195,0.06698226928710938,647
27,3,33.2913818359375,33.33353042602539,0.042148590087890625,647
28,1,24.46822166442871,24.50924301147461,0.04102134704589844,3862
28,2,84.89680480957031,84.36740112304688,0.5294036865234375,3862
28,3,42.89147186279297,42.474853515625,0.41661834716796875,3862
29,1,30.283981323242188,30.03516960144043,0.2488117218017578,2306
29,2,24.804973602294922,24.645519256591797,0.159454345703125,2306
29,3,92.3035888671875,92.47124481201172,0.16765594482421875,2306
30,1,24.777517318725586,24.63409423828125,0.14342308044433594,3722
30,2,93.7868423461914,93.46141815185547,0.3254241943359375,3722
30,3,89.66276550292969,89.39359283447266,0.26917266845703125,3722
31,1,91.44969177246094,91.85726165771484,0.40756988525390625,3567
31,2,30.199966430664062,30.247499465942383,0.04753303527832031,3567
31,3,43.354732513427734,43.31999206542969,0.034740447998046875,3567
32,1,83.3873291015625,84.04186248779297,0.6545333862304688,533
32,2,23.075572967529297,23.084152221679688,0.008579254150390625,533
32,3,77.9892578125,77.98063659667969,0.0086212158203125,533
33,1,6.8519487380981445,7.234294891357422,0.38234615325927734,2031
33,2,17.157445907592773,17.175518035888672,0.018072128295898438,2031
33,3,20.92900848388672,21.14903450012207,0.22002601623535156,2031
34,1,68.23283386230469,68.216552734375,0.0162811279296875,3834
34,2,70.12660217285156,69.78733825683594,0.339263916015625,3834
34,3,90.02558898925781,89.26512145996094,0.760467529296875,3834
35,1,62.896881103515625,63.593833923339844,0.6969528198242188,3366
35,2,30.775863647460938,30.770145416259766,0.005718231201171875,3366
35,3,55.18986129760742,55.268062591552734,0.0782012939453125,3366
36,1,40.75156021118164,41.180938720703125,0.4293785095214844,1377
36,2,8.383893013000488,8.446402549743652,0.06250953674316406,1377
36,3,43.636287689208984,44.03168487548828,0.3953971862792969,1377
37,1,59.302772521972656,59.59183120727539,0.2890586853027344,1235
37,2,77.9401626586914,78.01334381103516,0.07318115234375,1235
37,3,17.88484764099121,18.0172119140625,0.13236427307128906,1235
38,1,81.62543487548828,81.73485565185547,0.1094207763671875,1098
38,2,19.545520782470703,19.496082305908203,0.0494384765625,1098
38,3,73.91339874267578,73.05191040039062,0.8614883422851562,1098
39,1,65.8674087524414,66.97381591796875,1.1064071655273438,3296
39,2,18.466020584106445,18.726272583007812,0.2602519989013672,3296
39,3,22.305463790893555,22.32086181640625,0.015398025512695312,3296
40,1,33.483673095703125,33.7086296081543,0.22495651245117188,3434
40,2,45.14120101928711,45.06636428833008,0.07483673095703125,3434
40,3,47.514163970947266,47.71820068359375,0.20403671264648438,3434
41,1,37.0717887878418,37.25537872314453,0.18358993530273438,2680
41,2,34.63530349731445,34.549495697021484,0.08580780029296875,2680
41,3,57.302879333496094,57.0986442565918,0.20423507690429688,2680
42,1,61.774818420410156,61.829620361328125,0.05480194091796875,4198
42,2,30.414424896240234,30.431488037109375,0.017063140869140625,4198
42,3,25.12228012084961,25.26117706298828,0.13889694213867188,4198
43,1,76.20211791992188,76.04487609863281,0.1572418212890625,905
43,2,34.512969970703125,34.62505340576172,0.11208343505859375,905
43,3,57.73487091064453,57.353946685791016,0.3809242248535156,905
44,1,98.5028305053711,98.04088592529297,0.461944580078125,2933
44,2,35.99012756347656,35.901058197021484,0.08906936645507812,2933
44,3,45.787071228027344,45.677913665771484,0.10915756225585938,2933
45,1,10.796754837036133,9.048954010009766,1.7478008270263672,3789
45,2,75.4636001586914,76.48387145996094,1.0202713012695312,3789
45,3,39.63776397705078,40.02392578125,0.38616180419921875,3789
46,1,94.38356018066406,94.59115600585938,0.2075958251953125,3433
46,2,34.05143737792969,34.03905487060547,0.01238250732421875,3433
46,3,36.877838134765625,36.3698844909668,0.5079536437988281,3433
47,1,25.77983283996582,25.779733657836914,9.918212890625e-05,4123
47,2,19.797502517700195,19.719846725463867,0.07765579223632812,4123
47,3,68.85386657714844,69.95527648925781,1.101409912109375,4123
48,1,43.1807746887207,43.238136291503906,0.057361602783203125,3728
48,2,19.204336166381836,19.05302619934082,0.15130996704101562,3728
48,3,69.21209716796875,69.64273071289062,0.430633544921875,3728
49,1,25.763023376464844,25.58810043334961,0.17492294311523438,4415
49,2,69.67527770996094,69.63333892822266,0.04193878173828125,4415
49,3,83.5838394165039,82.81175994873047,0.7720794677734375,4415
50,1,63.89861297607422,65.03009033203125,1.1314773559570312,2143
50,2,8.354135513305664,6.6419148445129395,1.7122206687927246,2143
50,3,83.43695831298828,84.6896743774414,1.252716064453125,2143
51,1,29.685091018676758,30.113237380981445,0.4281463623046875,2941
51,2,28.43077850341797,28.567821502685547,0.13704299926757812,2941
51,3,36.63712692260742,36.72332000732422,0.08619308471679688,2941
52,1,79.80543518066406,79.87911224365234,0.07367706298828125,4982
52,2,59.48173522949219,59.18759536743164,0.2941398620605469,4982
52,3,11.343957901000977,11.67998218536377,0.33602428436279297,4982
53,1,54.13912582397461,54.19493103027344,0.055805206298828125,4352
53,2,45.23529815673828,45.173492431640625,0.06180572509765625,4352
53,3,69.78607940673828,70.07740020751953,0.29132080078125,4352
54,1,37.271724700927734,37.490806579589844,0.21908187866210938,2470
54,2,37.08305358886719,37.32037353515625,0.2373199462890625,2470
54,3,59.429107666015625,59.640933990478516,0.21182632446289062,2470
55,1,57.98331832885742,57.56379318237305,0.419525146484375,1005
55,2,19.294586181640625,19.207399368286133,0.08718681335449219,1005
55,3,52.6479377746582,52.48891067504883,0.159027099609375,1005
56,1,90.07315063476562,90.83592224121094,0.7627716064453125,717
56,2,4.1445393562316895,3.7870147228240967,0.3575246334075928,717
56,3,34.01156997680664,35.21318817138672,1.2016181945800781,717
57,1,48.974979400634766,49.270484924316406,0.2955055236816406,2072
57,2,11.631038665771484,11.382417678833008,0.24862098693847656,2072
57,3,88.67332458496094,88.39827728271484,0.27504730224609375,2072
58,1,79.99534606933594,80.02001190185547,0.02466583251953125,3278
58,2,50.925811767578125,50.78557586669922,0.14023590087890625,3278
58,3,72.95030212402344,72.7972412109375,0.1530609130859375,3278
59,1,71.93978118896484,71.90308380126953,0.0366973876953125,4554
59,2,78.02457427978516,77.70811462402344,0.31645965576171875,4554
59,3,43.32355880737305,43.1661491394043,0.15740966796875,4554
60,1,88.98822784423828,88.95649719238281,0.03173065185546875,1636
60,2,67.29256439208984,67.27092742919922,0.021636962890625,1636
60,3,24.105913162231445,23.908191680908203,0.1977214813232422,1636
61,1,65.89501190185547,65.95721435546875,0.06220245361328125,3953
61,2,27.111474990844727,27.217803955078125,0.10632896423339844,3953
61,3,47.93179702758789,48.41685485839844,0.4850578308105469,3953
62,1,79.02392578125,79.166748046875,0.142822265625,4492
62,2,51.77777862548828,52.52616500854492,0.7483863830566406,4492
62,3,64.07618713378906,64.26415252685547,0.18796539306640625,4492
63,1,49.894203186035156,50.12051010131836,0.22630691528320312,1788
63,2,15.768499374389648,15.40404224395752,0.3644571304321289,1788
63,3,78.42678833007812,79.06178283691406,0.6349945068359375,1788
64,1,74.4360122680664,74.73596954345703,0.299957275390625,2971
64,2,36.675514221191406,36.62604522705078,0.049468994140625,2971
64,3,90.2033462524414,90.2455062866211,0.0421600341796875,2971
65,1,76.4766616821289,76.43338012695312,0.04328155517578125,2252
65,2,39.432830810546875,39.41982650756836,0.013004302978515625,2252
65,3,83.61612701416016,83.94757843017578,0.331451416015625,2252
66,1,48.899105072021484,52.388404846191406,3.489299774169922,1889
66,2,90.92539978027344,90.84591674804688,0.0794830322265625,1889
66,3,85.89105987548828,85.49845886230469,0.39260101318359375,1889
67,1,43.67015838623047,43.454410552978516,0.21574783325195312,4905
67,2,40.98728942871094,41.02711486816406,0.039825439453125,4905
67,3,74.12578582763672,74.2379150390625,0.11212921142578125,4905
68,1,71.49987030029297,71.85706329345703,0.3571929931640625,863
68,2,30.911865234375,31.069316864013672,0.15745162963867188,863
68,3,14.653875350952148,14.589768409729004,0.06410694122314453,863
69,1,18.65636444091797,18.946273803710938,0.28990936279296875,1091
69,2,6.613914489746094,6.042387008666992,0.5715274810791016,1091
69,3,43.14529037475586,43.49114990234375,0.3458595275878906,1091
